name,level,year,value
Atlantic Islands,6,1890,
Atlantic Islands,6,1880,
Atlantic Islands,6,1870,
Atlantic Islands,6,1860,
Atlantic Islands,6,1850,
Australia,1,2000,60965.0
Australia,1,1990,42267.0
Australia,1,1980,36120.0
Australia,1,1970,24271.0
Australia,1,1960,22209.0
Australia,1,1950,
Australia,1,1940,
Australia,1,1930,12816.0
Australia,1,1920,10914.0
Australia,1,1910,9035.0
Australia,1,1900,6807.0
Australia,1,1890,5984.0
Australia,1,1880,4906.0
Australia,1,1870,3118.0
Australia,1,1860,1419.0
Australia,1,1850,
Austria,1,2000,63648.0
Austria,1,1990,87673.0
Austria,1,1980,145607.0
Austria,1,1970,214014.0
Austria,1,1960,304507.0
Austria,1,1950,
Austria,1,1940,
Austria,1,1930,370914.0
Austria,1,1920,575627.0
Austria,1,1910,626341.0
Austria,1,1900,275907.0
Austria,1,1890,123271.0
Austria,1,1880,38663.0
Austria,1,1870,30508.0
Austria,1,1860,25061.0
Austria,1,1850,94600.0
Belgium,1,2000,3389500.0
Belgium,1,1990,3436600.0
Belgium,1,1980,3648700.0
Belgium,1,1970,4141200.0
Belgium,1,1960,5029400.0
Belgium,1,1950,
Belgium,1,1940,
Belgium,1,1930,6419400.0
Belgium,1,1920,6268700.0
Belgium,1,1910,4940000.0
Belgium,1,1900,2975700.0
Belgium,1,1890,2263900.0
Belgium,1,1880,1553500.0
Belgium,1,1870,1255300.0
Belgium,1,1860,907200.0
Belgium,1,1850,131300.0
Born at sea,1,2000,31600.0
Born at sea,1,1990,
Born at sea,1,1980,
Born at sea,1,1970,
Born at sea,1,1960,
Born at sea,1,1950,
Born at sea,1,1940,
Born at sea,1,1930,5008.0
Born at sea,1,1920,5336.0
Born at sea,1,1910,6927.0
Born at sea,1,1900,8196.0
Born at sea,1,1890,5533.0
Born at sea,1,1880,4068.0
Born at sea,1,1870,2638.0
Born at sea,1,1860,2522.0
Born at sea,1,1850,
British Isles,4,2000,834225.0
British Isles,4,1990,809972.0
British Isles,4,1980,866966.0
British Isles,4,1970,937474.0
British Isles,4,1960,1171777.0
British Isles,4,1950,
British Isles,4,1940,
British Isles,4,1930,2147733.0
British Isles,4,1920,2172723.0
British Isles,4,1910,2573534.0
British Isles,4,1900,2783082.0
British Isles,4,1890,3122911.0
British Isles,4,1880,2772169.0
British Isles,4,1870,2626241.0
British Isles,4,1860,2199079.0
British Isles,4,1850,1340812.0
Bulgaria,1,2000,3509000.0
Bulgaria,1,1990,857900.0
Bulgaria,1,1980,846300.0
Bulgaria,1,1970,860900.0
Bulgaria,1,1960,822300.0
Bulgaria,1,1950,
Bulgaria,1,1940,
Bulgaria,1,1930,939900.0
Bulgaria,1,1920,1047700.0
Bulgaria,1,1910,1149800.0
Bulgaria,1,1900,
Bulgaria,1,1890,
Bulgaria,1,1880,
Bulgaria,1,1870,
Bulgaria,1,1860,
Bulgaria,1,1850,
Canada,1,2000,820771.0
Canada,1,1990,744830.0
Canada,1,1980,842859.0
Canada,1,1970,812421.0
Canada,1,1960,952500.0
Canada,1,1950,
Canada,1,1940,
Canada,1,1930,1310369.0
Canada,1,1920,1138174.0
Canada,1,1910,1209717.0
Canada,1,1900,1179922.0
Canada,1,1890,980938.0
Canada,1,1880,717157.0
Canada,1,1870,493464.0
Canada,1,1860,249970.0
Canada,1,1850,147711.0
Caribbean,6,2000,2953066.0
Caribbean,6,1990,1938348.0
Caribbean,6,1980,1258363.0
Caribbean,6,1970,675108.0
Caribbean,6,1960,193922.0
Caribbean,6,1950,
Caribbean,6,1940,
Caribbean,6,1930,106241.0
Caribbean,6,1920,78962.0
Caribbean,6,1910,47635.0
Caribbean,6,1900,25435.0
Caribbean,6,1890,23256.0
Caribbean,6,1880,16401.0
Caribbean,6,1870,11570.0
Caribbean,6,1860,7353.0
Caribbean,6,1850,5772.0
Central America,7,2000,11203637.0
Central America,7,1990,5431992.0
Central America,7,1980,2553113.0
Central America,7,1970,873624.0
Central America,7,1960,624851.0
Central America,7,1950,
Central America,7,1940,
Central America,7,1930,651976.0
Central America,7,1920,491330.0
Central America,7,1910,223651.0
Central America,7,1900,107290.0
Central America,7,1890,79045.0
Central America,7,1880,69106.0
Central America,7,1870,42736.0
Central America,7,1860,27699.0
Central America,7,1850,13458.0
China,1,2000,988857.0
China,1,1990,529837.0
China,1,1980,286120.0
China,1,1970,172132.0
China,1,1960,99735.0
China,1,1950,
China,1,1940,
China,1,1930,46129.0
China,1,1920,43560.0
China,1,1910,56756.0
China,1,1900,81534.0
China,1,1890,106688.0
China,1,1880,104468.0
China,1,1870,63042.0
China,1,1860,35565.0
China,1,1850,75800.0
Cuba,1,2000,872716.0
Cuba,1,1990,736971.0
Cuba,1,1980,607814.0
Cuba,1,1970,439048.0
Cuba,1,1960,79150.0
Cuba,1,1950,
Cuba,1,1940,
Cuba,1,1930,18493.0
Cuba,1,1920,14872.0
Cuba,1,1910,15133.0
Cuba,1,1900,11081.0
Cuba,1,1890,
Cuba,1,1880,6917.0
Cuba,1,1870,5319.0
Cuba,1,1860,
Cuba,1,1850,
Czechoslovakia,1,2000,83081.0
Czechoslovakia,1,1990,87020.0
Czechoslovakia,1,1980,112707.0
Czechoslovakia,1,1970,160899.0
Czechoslovakia,1,1960,227618.0
Czechoslovakia,1,1950,
Czechoslovakia,1,1940,
Czechoslovakia,1,1930,491638.0
Czechoslovakia,1,1920,362438.0
Czechoslovakia,1,1910,219214.0
Czechoslovakia,1,1900,156891.0
Czechoslovakia,1,1890,118106.0
Czechoslovakia,1,1880,85361.0
Czechoslovakia,1,1870,40289.0
Czechoslovakia,1,1860,
Czechoslovakia,1,1850,
Denmark,1,2000,31422.0
Denmark,1,1990,34999.0
Denmark,1,1980,42732.0
Denmark,1,1970,61410.0
Denmark,1,1960,85060.0
Denmark,1,1950,
Denmark,1,1940,
Denmark,1,1930,179474.0
Denmark,1,1920,189154.0
Denmark,1,1910,181649.0
Denmark,1,1900,153690.0
Denmark,1,1890,132543.0
Denmark,1,1880,64196.0
Denmark,1,1870,30107.0
Denmark,1,1860,9962.0
Denmark,1,1850,1838.0
Eastern Europe,5,2000,1906056.0
Eastern Europe,5,1990,1231372.0
Eastern Europe,5,1980,1411742.0
Eastern Europe,5,1970,1727796.0
Eastern Europe,5,1960,2365579.0
Eastern Europe,5,1950,
Eastern Europe,5,1940,
Eastern Europe,5,1930,3785890.0
Eastern Europe,5,1920,3731327.0
Eastern Europe,5,1910,2956783.0
Eastern Europe,5,1900,1134680.0
Eastern Europe,5,1890,512464.0
Eastern Europe,5,1880,182371.0
Eastern Europe,5,1870,63408.0
Eastern Europe,5,1860,10586.0
Eastern Europe,5,1850,1520.0
England,1,2000,423609.0
England,1,1990,405588.0
England,1,1980,442499.0
England,1,1970,458114.0
England,1,1960,528205.0
England,1,1950,
England,1,1940,
England,1,1930,809563.0
England,1,1920,813853.0
England,1,1910,877719.0
England,1,1900,840513.0
England,1,1890,908141.0
England,1,1880,662676.0
England,1,1870,550924.0
England,1,1860,431692.0
England,1,1850,278675.0
Estonia,1,2000,9785.0
Estonia,1,1990,9210.0
Estonia,1,1980,12169.0
Estonia,1,1970,12163.0
Estonia,1,1960,13991.0
Estonia,1,1950,
Estonia,1,1940,
Estonia,1,1930,3550.0
Estonia,1,1920,
Estonia,1,1910,
Estonia,1,1900,
Estonia,1,1890,
Estonia,1,1880,
Estonia,1,1870,
Estonia,1,1860,
Estonia,1,1850,
Europe,7,2000,4915557.0
Europe,7,1990,4350403.0
Europe,7,1980,5149572.0
Europe,7,1970,5740891.0
Europe,7,1960,7256311.0
Europe,7,1950,
Europe,7,1940,
Europe,7,1930,11784010.0
Europe,7,1920,11916048.0
Europe,7,1910,11810115.0
Europe,7,1900,8881548.0
Europe,7,1890,8030347.0
Europe,7,1880,5751823.0
Europe,7,1870,4941049.0
Europe,7,1860,3807062.0
Europe,7,1850,2031867.0
Europe n.e.c,1,2000,
Europe n.e.c,1,1990,
Europe n.e.c,1,1980,
Europe n.e.c,1,1970,
Europe n.e.c,1,1960,
Europe n.e.c,1,1950,
Europe n.e.c,1,1940,
Europe n.e.c,1,1930,1483.0
Europe n.e.c,1,1920,2433.0
Europe n.e.c,1,1910,10013.0
Europe n.e.c,1,1900,
Europe n.e.c,1,1890,
Europe n.e.c,1,1880,
Europe n.e.c,1,1870,
Europe n.e.c,1,1860,
Europe n.e.c,1,1850,
Finland,1,2000,21408.0
Finland,1,1990,22313.0
Finland,1,1980,29172.0
Finland,1,1970,45499.0
Finland,1,1960,67624.0
Finland,1,1950,
Finland,1,1940,
Finland,1,1930,142478.0
Finland,1,1920,149824.0
Finland,1,1910,129680.0
Finland,1,1900,62641.0
Finland,1,1890,
Finland,1,1880,
Finland,1,1870,
Finland,1,1860,
Finland,1,1850,
France,1,2000,151154.0
France,1,1990,119233.0
France,1,1980,120215.0
France,1,1970,105385.0
France,1,1960,111582.0
France,1,1950,
France,1,1940,
France,1,1930,135592.0
France,1,1920,153072.0
France,1,1910,117418.0
France,1,1900,104197.0
France,1,1890,113174.0
France,1,1880,106971.0
France,1,1870,116402.0
France,1,1860,109870.0
France,1,1850,54069.0
Germany,1,2000,706704.0
Germany,1,1990,711929.0
Germany,1,1980,849384.0
Germany,1,1970,832965.0
Germany,1,1960,989815.0
Germany,1,1950,
Germany,1,1940,
Germany,1,1930,1608814.0
Germany,1,1920,1686108.0
Germany,1,1910,2311237.0
Germany,1,1900,2663418.0
Germany,1,1890,2784894.0
Germany,1,1880,1966742.0
Germany,1,1870,1690533.0
Germany,1,1860,1276075.0
Germany,1,1850,583774.0
Great Britain,2,2000,664574.0
Great Britain,2,1990,623614.0
Great Britain,2,1980,649318.0
Great Britain,2,1970,645262.0
Great Britain,2,1960,764893.0
Great Britain,2,1950,
Great Britain,2,1940,
Great Britain,2,1930,1224091.0
Great Britain,2,1920,1135489.0
Great Britain,2,1910,1221283.0
Great Britain,2,1900,1167623.0
Great Britain,2,1890,1251402.0
Great Britain,2,1880,917598.0
Great Britain,2,1870,770414.0
Great Britain,2,1860,587775.0
Great Britain,2,1850,379093.0
Great britain n.e.c,1,2000,14157200.0
Great britain n.e.c,1,1990,10322000.0
Great britain n.e.c,1,1980,5129000.0
Great britain n.e.c,1,1970,
Great britain n.e.c,1,1960,
Great britain n.e.c,1,1950,
Great britain n.e.c,1,1940,
Great britain n.e.c,1,1930,
Great britain n.e.c,1,1920,
Great britain n.e.c,1,1910,
Great britain n.e.c,1,1900,
Great britain n.e.c,1,1890,95100.0
Great britain n.e.c,1,1880,148400.0
Great britain n.e.c,1,1870,412200.0
Great britain n.e.c,1,1860,180200.0
Great britain n.e.c,1,1850,
Greece,1,2000,165750.0
Greece,1,1990,177398.0
Greece,1,1980,210998.0
Greece,1,1970,177275.0
Greece,1,1960,159167.0
Greece,1,1950,
Greece,1,1940,
Greece,1,1930,174526.0
Greece,1,1920,175976.0
Greece,1,1910,101282.0
Greece,1,1900,8515.0
Greece,1,1890,1887.0
Greece,1,1880,77600.0
Greece,1,1870,39000.0
Greece,1,1860,32800.0
Greece,1,1850,8600.0
Hungary,1,2000,92017.0
Hungary,1,1990,110337.0
Hungary,1,1980,144368.0
Hungary,1,1970,183236.0
Hungary,1,1960,245252.0
Hungary,1,1950,
Hungary,1,1940,
Hungary,1,1930,274450.0
Hungary,1,1920,397283.0
Hungary,1,1910,495609.0
Hungary,1,1900,145714.0
Hungary,1,1890,62435.0
Hungary,1,1880,11526.0
Hungary,1,1870,3737.0
Hungary,1,1860,
Hungary,1,1850,
Iceland,1,2000,5553.0
Iceland,1,1990,5071.0
Iceland,1,1980,4156.0
Iceland,1,1970,2895.0
Iceland,1,1960,2780.0
Iceland,1,1950,
Iceland,1,1940,
Iceland,1,1930,2764.0
Iceland,1,1920,
Iceland,1,1910,
Iceland,1,1900,
Iceland,1,1890,
Iceland,1,1880,
Iceland,1,1870,
Iceland,1,1860,
Iceland,1,1850,
In Europe,1,2000,710676.0
In Europe,1,1990,
In Europe,1,1980,
In Europe,1,1970,
In Europe,1,1960,
In Europe,1,1950,
In Europe,1,1940,
In Europe,1,1930,
In Europe,1,1920,
In Europe,1,1910,
In Europe,1,1900,
In Europe,1,1890,
In Europe,1,1880,
In Europe,1,1870,
In Europe,1,1860,
In Europe,1,1850,
India,1,2000,1022552.0
India,1,1990,450406.0
India,1,1980,206087.0
India,1,1970,51000.0
India,1,1960,12296.0
India,1,1950,
India,1,1940,
India,1,1930,5850.0
India,1,1920,4901.0
India,1,1910,4664.0
India,1,1900,2031.0
India,1,1890,2143.0
India,1,1880,1707.0
India,1,1870,58600.0
India,1,1860,
India,1,1850,
Ireland,1,2000,156474.0
Ireland,1,1990,169827.0
Ireland,1,1980,197817.0
Ireland,1,1970,251375.0
Ireland,1,1960,338722.0
Ireland,1,1950,
Ireland,1,1940,
Ireland,1,1930,744810.0
Ireland,1,1920,1037234.0
Ireland,1,1910,1352251.0
Ireland,1,1900,1615459.0
Ireland,1,1890,1871509.0
Ireland,1,1880,1854571.0
Ireland,1,1870,1855827.0
Ireland,1,1860,1611304.0
Ireland,1,1850,961719.0
Italy,1,2000,473338.0
Italy,1,1990,580592.0
Italy,1,1980,831922.0
Italy,1,1970,1008533.0
Italy,1,1960,1256999.0
Italy,1,1950,
Italy,1,1940,
Italy,1,1930,1790429.0
Italy,1,1920,1610113.0
Italy,1,1910,1343125.0
Italy,1,1900,484027.0
Italy,1,1890,182580.0
Italy,1,1880,44230.0
Italy,1,1870,17157.0
Italy,1,1860,11677.0
Italy,1,1850,3679.0
Japan,1,2000,347539.0
Japan,1,1990,290128.0
Japan,1,1980,221794.0
Japan,1,1970,120235.0
Japan,1,1960,109175.0
Japan,1,1950,
Japan,1,1940,
Japan,1,1930,70993.0
Japan,1,1920,81502.0
Japan,1,1910,67744.0
Japan,1,1900,24788.0
Japan,1,1890,2292.0
Japan,1,1880,40100.0
Japan,1,1870,7300.0
Japan,1,1860,
Japan,1,1850,
Latin America,7,2000,16086974.0
Latin America,7,1990,8407837.0
Latin America,7,1980,4372487.0
Latin America,7,1970,1803970.0
Latin America,7,1960,908309.0
Latin America,7,1950,
Latin America,7,1940,
Latin America,7,1930,791840.0
Latin America,7,1920,588843.0
Latin America,7,1910,279514.0
Latin America,7,1900,137458.0
Latin America,7,1890,107307.0
Latin America,7,1880,90073.0
Latin America,7,1870,57871.0
Latin America,7,1860,38315.0
Latin America,7,1850,20773.0
Latvia,1,2000,27232.0
Latvia,1,1990,26179.0
Latvia,1,1980,34349.0
Latvia,1,1970,41707.0
Latvia,1,1960,50681.0
Latvia,1,1950,
Latvia,1,1940,
Latvia,1,1930,20673.0
Latvia,1,1920,
Latvia,1,1910,
Latvia,1,1900,
Latvia,1,1890,
Latvia,1,1880,
Latvia,1,1870,
Latvia,1,1860,
Latvia,1,1850,
Lithuania,1,2000,28490.0
Lithuania,1,1990,29745.0
Lithuania,1,1980,48194.0
Lithuania,1,1970,76001.0
Lithuania,1,1960,121475.0
Lithuania,1,1950,
Lithuania,1,1940,
Lithuania,1,1930,193606.0
Lithuania,1,1920,135068.0
Lithuania,1,1910,
Lithuania,1,1900,
Lithuania,1,1890,
Lithuania,1,1880,
Lithuania,1,1870,
Lithuania,1,1860,
Lithuania,1,1850,
Low countries,4,2000,13061500.0
Low countries,4,1990,13261700.0
Low countries,4,1980,14274800.0
Low countries,4,1970,15551300.0
Low countries,4,1960,17306900.0
Low countries,4,1950,
Low countries,4,1940,
Low countries,4,1930,20637500.0
Low countries,4,1920,20703800.0
Low countries,4,1910,17253400.0
Low countries,4,1900,12771900.0
Low countries,4,1890,10734900.0
Low countries,4,1880,8646100.0
Low countries,4,1870,6515700.0
Low countries,4,1860,3735300.0
Low countries,4,1850,1116100.0
Luxembourg,1,2000,2150.0
Luxembourg,1,1990,2053.0
Luxembourg,1,1980,3125.0
Luxembourg,1,1970,3531.0
Luxembourg,1,1960,4360.0
Luxembourg,1,1950,
Luxembourg,1,1940,
Luxembourg,1,1930,9048.0
Luxembourg,1,1920,12585.0
Luxembourg,1,1910,3071.0
Luxembourg,1,1900,3031.0
Luxembourg,1,1890,2882.0
Luxembourg,1,1880,1600.0
Luxembourg,1,1870,5802.0
Luxembourg,1,1860,
Luxembourg,1,1850,
Mexico,1,2000,9177487.0
Mexico,1,1990,4298014.0
Mexico,1,1980,2199221.0
Mexico,1,1970,759711.0
Mexico,1,1960,575902.0
Mexico,1,1950,
Mexico,1,1940,
Mexico,1,1930,641462.0
Mexico,1,1920,486418.0
Mexico,1,1910,221915.0
Mexico,1,1900,103393.0
Mexico,1,1890,77853.0
Mexico,1,1880,68399.0
Mexico,1,1870,42435.0
Mexico,1,1860,27466.0
Mexico,1,1850,13317.0
Netherlands,1,2000,94570.0
Netherlands,1,1990,96198.0
Netherlands,1,1980,103136.0
Netherlands,1,1970,110570.0
Netherlands,1,1960,118415.0
Netherlands,1,1950,
Netherlands,1,1940,
Netherlands,1,1930,133133.0
Netherlands,1,1920,131766.0
Netherlands,1,1910,120063.0
Netherlands,1,1900,94931.0
Netherlands,1,1890,81828.0
Netherlands,1,1880,58090.0
Netherlands,1,1870,46802.0
Netherlands,1,1860,28281.0
Netherlands,1,1850,9848.0
Newfoundland,1,2000,
Newfoundland,1,1990,
Newfoundland,1,1980,
Newfoundland,1,1970,
Newfoundland,1,1960,
Newfoundland,1,1950,
Newfoundland,1,1940,
Newfoundland,1,1930,23980.0
Newfoundland,1,1920,13249.0
Newfoundland,1,1910,5080.0
Newfoundland,1,1900,
Newfoundland,1,1890,
Newfoundland,1,1880,
Newfoundland,1,1870,
Newfoundland,1,1860,
Newfoundland,1,1850,
Northern America,7,2000,829442.0
Northern America,7,1990,753917.0
Northern America,7,1980,853427.0
Northern America,7,1970,812421.0
Northern America,7,1960,952500.0
Northern America,7,1950,
Northern America,7,1940,
Northern America,7,1930,1310369.0
Northern America,7,1920,1138174.0
Northern America,7,1910,1209717.0
Northern America,7,1900,1179922.0
Northern America,7,1890,980938.0
Northern America,7,1880,717286.0
Northern America,7,1870,493467.0
Northern America,7,1860,249970.0
Northern America,7,1850,147711.0
Northern Europe,5,2000,974619.0
Northern Europe,5,1990,968271.0
Northern Europe,5,1980,1083499.0
Northern Europe,5,1970,1271591.0
Northern Europe,5,1960,1694430.0
Northern Europe,5,1950,
Northern Europe,5,1940,
Northern Europe,5,1930,3415551.0
Northern Europe,5,1920,3501149.0
Northern Europe,5,1910,3953947.0
Northern Europe,5,1900,3917815.0
Northern Europe,5,1890,4056160.0
Northern Europe,5,1880,3212431.0
Northern Europe,5,1870,2867926.0
Northern Europe,5,1860,2271661.0
Northern Europe,5,1850,1358887.0
Northern Ireland,1,2000,13177.0
Northern Ireland,1,1990,16531.0
Northern Ireland,1,1980,19831.0
Northern Ireland,1,1970,40837.0
Northern Ireland,1,1960,68162.0
Northern Ireland,1,1950,
Northern Ireland,1,1940,
Northern Ireland,1,1930,178832.0
Northern Ireland,1,1920,
Northern Ireland,1,1910,
Northern Ireland,1,1900,
Northern Ireland,1,1890,
Northern Ireland,1,1880,
Northern Ireland,1,1870,
Northern Ireland,1,1860,
Northern Ireland,1,1850,
Northern and Western Europe,6,2000,2070466.0
Northern and Western Europe,6,1990,2058853.0
Northern and Western Europe,6,1980,2384257.0
Northern and Western Europe,6,1970,2629200.0
Northern and Western Europe,6,1960,3334971.0
Northern and Western Europe,6,1950,
Northern and Western Europe,6,1940,
Northern and Western Europe,6,1930,5850256.0
Northern and Western Europe,6,1920,6241916.0
Northern and Western Europe,6,1910,7306325.0
Northern and Western Europe,6,1900,7204649.0
Northern and Western Europe,6,1890,7288917.0
Northern and Western Europe,6,1880,5499889.0
Northern and Western Europe,6,1870,4845679.0
Northern and Western Europe,6,1860,3773347.0
Northern and Western Europe,6,1850,2022195.0
Norway,1,2000,32207.0
Norway,1,1990,42240.0
Norway,1,1980,63316.0
Norway,1,1970,97243.0
Norway,1,1960,152698.0
Norway,1,1950,
Norway,1,1940,
Norway,1,1930,347852.0
Norway,1,1920,363863.0
Norway,1,1910,403877.0
Norway,1,1900,336388.0
Norway,1,1890,322665.0
Norway,1,1880,181729.0
Norway,1,1870,114246.0
Norway,1,1860,43995.0
Norway,1,1850,12678.0
Not reported,1,2000,
Not reported,1,1990,
Not reported,1,1980,
Not reported,1,1970,
Not reported,1,1960,
Not reported,1,1950,
Not reported,1,1940,
Not reported,1,1930,1588.0
Not reported,1,1920,3589.0
Not reported,1,1910,2687.0
Not reported,1,1900,2546.0
Not reported,1,1890,47900.0
Not reported,1,1880,0.0
Not reported,1,1870,95400.0
Not reported,1,1860,1366.0
Not reported,1,1850,41977.0
Oceania,7,2000,168046.0
Oceania,7,1990,104145.0
Oceania,7,1980,77577.0
Oceania,7,1970,41258.0
Oceania,7,1960,34730.0
Oceania,7,1950,
Oceania,7,1940,
Oceania,7,1930,17343.0
Oceania,7,1920,14626.0
Oceania,7,1910,11450.0
Oceania,7,1900,8820.0
Oceania,7,1890,9353.0
Oceania,7,1880,6859.0
Oceania,7,1870,4028.0
Oceania,7,1860,2140.0
Oceania,7,1850,58800.0
Other Asia,4,2000,5734367.0
Other Asia,4,1990,3595727.0
Other Asia,4,1980,1751780.0
Other Asia,4,1970,418473.0
Other Asia,4,1960,200845.0
Other Asia,4,1950,
Other Asia,4,1940,
Other Asia,4,1930,10509.0
Other Asia,4,1920,5236.0
Other Asia,4,1910,2591.0
Other Asia,4,1900,11895.0
Other Asia,4,1890,2260.0
Other Asia,4,1880,1054.0
Other Asia,4,1870,86400.0
Other Asia,4,1860,1231.0
Other Asia,4,1850,37700.0
Other Carabbean,6,2000,2080350.0
Other Carabbean,6,1990,1201377.0
Other Carabbean,6,1980,650549.0
Other Carabbean,6,1970,236060.0
Other Carabbean,6,1960,114772.0
Other Carabbean,6,1950,
Other Carabbean,6,1940,
Other Carabbean,6,1930,87748.0
Other Carabbean,6,1920,64090.0
Other Carabbean,6,1910,32502.0
Other Carabbean,6,1900,14354.0
Other Carabbean,6,1890,
Other Carabbean,6,1880,9484.0
Other Carabbean,6,1870,6251.0
Other Carabbean,6,1860,
Other Carabbean,6,1850,
Other Eastern Europe,4,2000,
Other Eastern Europe,4,1990,
Other Eastern Europe,4,1980,16768.0
Other Eastern Europe,4,1970,20700.0
Other Eastern Europe,4,1960,14320.0
Other Eastern Europe,4,1950,
Other Eastern Europe,4,1940,
Other Eastern Europe,4,1930,14772.0
Other Eastern Europe,4,1920,3205.0
Other Eastern Europe,4,1910,2858.0
Other Eastern Europe,4,1900,2251.0
Other Eastern Europe,4,1890,12579.0
Other Eastern Europe,4,1880,3314.0
Other Eastern Europe,4,1870,1546.0
Other Eastern Europe,4,1860,1403.0
Other Eastern Europe,4,1850,
Other Northern America,6,2000,867100.0
Other Northern America,6,1990,9087.0
Other Northern America,6,1980,10568.0
Other Northern America,6,1970,
Other Northern America,6,1960,
Other Northern America,6,1950,
Other Northern America,6,1940,
Other Northern America,6,1930,
Other Northern America,6,1920,
Other Northern America,6,1910,
Other Northern America,6,1900,
Other Northern America,6,1890,
Other Northern America,6,1880,12900.0
Other Northern America,6,1870,300.0
Other Northern America,6,1860,
Other Northern America,6,1850,
Other Oceania,4,2000,107081.0
Other Oceania,4,1990,61878.0
Other Oceania,4,1980,41457.0
Other Oceania,4,1970,16987.0
Other Oceania,4,1960,12521.0
Other Oceania,4,1950,
Other Oceania,4,1940,
Other Oceania,4,1930,4527.0
Other Oceania,4,1920,3712.0
Other Oceania,4,1910,2415.0
Other Oceania,4,1900,2013.0
Other Oceania,4,1890,2065.0
Other Oceania,4,1880,80600.0
Other Oceania,4,1870,32600.0
Other Oceania,4,1860,28600.0
Other Oceania,4,1850,
Other Scandinavia,1,2000,8000.0
Other Scandinavia,1,1990,
Other Scandinavia,1,1980,
Other Scandinavia,1,1970,
Other Scandinavia,1,1960,
Other Scandinavia,1,1950,
Other Scandinavia,1,1940,
Other Scandinavia,1,1930,
Other Scandinavia,1,1920,
Other Scandinavia,1,1910,
Other Scandinavia,1,1900,
Other Scandinavia,1,1890,
Other Scandinavia,1,1880,
Other Scandinavia,1,1870,
Other Scandinavia,1,1860,
Other Scandinavia,1,1850,
Other Southern Europe,4,2000,9600.0
Other Southern Europe,4,1990,9614.0
Other Southern Europe,4,1980,10182.0
Other Southern Europe,4,1970,
Other Southern Europe,4,1960,
Other Southern Europe,4,1950,
Other Southern Europe,4,1940,
Other Southern Europe,4,1930,
Other Southern Europe,4,1920,
Other Southern Europe,4,1910,
Other Southern Europe,4,1900,
Other Southern Europe,4,1890,
Other Southern Europe,4,1880,47200.0
Other Southern Europe,4,1870,13200.0
Other Southern Europe,4,1860,
Other Southern Europe,4,1850,
Other Western Europe,4,2000,62000.0
Other Western Europe,4,1990,
Other Western Europe,4,1980,
Other Western Europe,4,1970,
Other Western Europe,4,1960,
Other Western Europe,4,1950,
Other Western Europe,4,1940,
Other Western Europe,4,1930,
Other Western Europe,4,1920,26300.0
